;Message;URL;cat1;category
22236;Let’s make one thing clear: Trump can’t win the White House without winning #NorthCarolina. And we can’t let that happen.;https://www.facebook.com/100058013351323/posts/839977894612648;1;2
44247;Under the Trump administration, for every new regulation, two were repealed. I have proposed legislation that recently passed through our committee that requires the Small Business Administration to identify how much a regulation will cost, and it must be budget-negative or budget-neutral. Federal agencies are out of control with more than $1.2 trillion in regulations and are crushing our small businesses.;https://www.facebook.com/100044224549881/posts/1019372766213532;1;1
20211;Trump v Biden/ Cracks me up how everyone NOW jumping on Trump Train and how those who gave us the abomination who is Joe Biden are not accountable for doing so;https://www.facebook.com/100076264782232/posts/989119989315560;2;0
26758;Essex, Passaic, and Morris counties. Vote Trump and vote Jersey Joe!;https://www.facebook.com/100092654455686/posts/342636005501545;1;1
6238;AIPAC has already spent $6 million against us! Why? Because we stand for peace and justice! MAGA Republicans are trying to buy NY-16 because we’re working with and for the people! On June 25th we’re going to prove that we decide the future of our district, not them. #WeDecide Join us: https://secure.actblue.com/donate/jb-web-new;https://www.facebook.com/100053013721223/posts/988030632974052;1;2
10704;Loyalty to Trump is the only loyalty some elected officials have these days. It is shameful and contrary to the American Bar Association's Professional Rules of Conduct for those who've practiced law to stand outside Trump's trial in an attempt to undermine those proceedings!;https://www.facebook.com/100045080170090/posts/984746386371358;1;0
5271;Pray for President Donald Trump and his family today in court. If God be for us, then who can be against us.;https://www.facebook.com/100047224386906/posts/966871304897007;1;1
10621;Today was an amazing day getting to spend time in Liberty with the wonderful citizens. I'm excited to be running to be your Congressman and the only candidate endorsed by President Donald J Trump Vote for Mark Burns June 11. If you would like to join #TeamBurns or donate go to markburns.org #MarkBurnsForCongress #TrumpEndorsed #Trump2024 #SC3 #VoteJune11;https://www.facebook.com/100047224386906/posts/963509908566480;1;1
91372;Huge thank you to the Bikers for Trump for their endorsement! I will not let these great patriots down! #0H02;https://www.facebook.com/61553981473318/posts/122134966142132715;1;1
3062;Rumor has it the Trump donation website just crashed from massive activity. #gotrump;https://www.facebook.com/100057228679519/posts/934031281847819;1;1
58847;Iran has been empowered by more than just Biden’s weakness. October 7, 2023. April 13, 2024. Never forget… Biden funded these attacks when he handed over billions to Iran. This would have NEVER happened under Trump. Tell me I’m wrong.;https://www.facebook.com/100057241496670/posts/943174770933897;1;1
2044;I stand with Donald J. Trump!;https://www.facebook.com/100064564399129/posts/853806130114859;1;1
79552;Rather than facing President Trump at the ballot box, Democrats would rather throw bogus charges at the wall to see what sticks. Our justice system should not serve as an arm to do the Democrats' political bidding.;https://www.facebook.com/100044576192987/posts/956361405859724;1;1
40469;<U+0001F6A8><U+0001F6A8><U+0001F6A8> I just filed an official ethics complaint against Jack Smith with the Department of Justice's Office of Professional Responsibility for his illegal election interference. It’s obvious to any reasonable observer that Jack Smith is trying to interfere with the 2024 election and stop the American people from electing Donald Trump. At every turn, he has sought to accelerate his illegal prosecution of President Trump for the clear (if unstated) purpose of trying him before the November election. The Justice Department’s own policies clearly prohibit Smith from doing so, and as a DOJ employee he is bound by those policies. Moreover, when the district court imposed a stay on the proceedings, Smith and his office ignored it and continued to file discovery documents. Smith’s conduct has brought disrepute to the Department of Justice and the entire federal government, and the DOJ’s Office of Professional Responsibility should impose the discipline that such conduct warrants. Read my full complaint below: April 30, 2024 Jeffrey Ragsdale, Counsel Office of Professional Responsibility United States Department of Justice 950 Pennsylvania Avenue, N.W., Suite 3266 Washington, D.C. 20530-0001 Re: Complaint of Election Interference Against Biden Special Counsel Jack Smith Mr. Ragsdale: I write today to request an ethics investigation of Biden Justice Department special counsel Jack Smith for abusing the resources of the federal government to unlawfully interfere with the 2024 presidential election. Jack Smith’s multiple attempts to rush to trial the federal January 6th case against President Trump violated long-standing, explicit Justice Department policy. Further, Jack Smith’s repeated violations of the United States District Court for the District of Columbia’s stay of proceedings are a lawless breach of trial ethics and lawyerly conduct. Jack Smith’s actions brought disrepute to the Justice Department and the federal government as a whole, and he should face discipline appropriately. ATTEMPTING TO EXPEDITE TRIAL IN VIOLATION OF DOJ POLICY In June 2023, Biden special counsel Jack Smith obtained an indictment against President Donald J. Trump. The indictment charges President Trump with several offenses in relation to the Capitol riot of January 6, 2021. President Trump is now the presumptive Republican nominee for President, having won enough delegates to secure the nomination on March 12, 2024. As we will demonstrate, Biden special counsel Jack Smith is attempting to expedite the trial in order to influence the general election in November. This conduct violates Section 9-85.500 of DOJ’s Justice Manual to which Jack Smith is bound.1 Section 9-85.500 dictates that “[f]ederal prosecutors . . . may never select the timing of any action . . . for the purpose of affecting any election, or for the purpose of giving an advantage or disadvantage to any candidate or political party.” Jack Smith first violated this rule when–in August 2023–he petitioned the District Court for a January 2, 2024, trial date. There exist approximately thirteen million pages of discovery for President Trump to review, plus thousands of hours of camera footage. Prosecutors bringing a case of this complexity–with so many consequential and novel legal issues to sort out–would normally never seek to bring it to trial within five months. The only reason to push for such an early trial date was to work to get the case tried before the November election, and the Justice Department Manual clearly forbids Jack Smith from taking any action on that basis. Biden special counsel Jack Smith next violated this Justice Department provision when he petitioned the Supreme Court of the United States for a writ of certiorari before judgment in December.2 This extraordinary petition sought to bypass the normal appellate process, which involves a decision by a Court of Appeals panel and, possibly, review by the en banc court. Jack Smith asserted that it was “imperative” for the Supreme Court to grant his highly unusual request,3 but on December 22, 2023, the Supreme Court denied Jack Smith’s petition. That Jack Smith was solely motivated by the desire to interfere in the November election was effectively proven two months later. In February, President Trump petitioned for certiorari on the issue of presidential criminal immunity for official acts.4 Biden special counsel Jack Smith—having supported certiorari just two months earlier—now opposed certiorari. Jack Smith effectively repudiated his own arguments from two months earlier, with little explanation for his about-face other than his naked assertion that “[t]he nation has a compelling interest in the prompt resolution of this case.”5 Opp. To Pet. For Cert. at 34-35. Aside from the upcoming election, what “compelling interest” does the public have in the prompt resolution of this case? Why should this interest—based on an unstated reason—override the due process rights of a criminal defendant? (truncated);https://www.facebook.com/100044002275306/posts/994806478662752;8;1
3395;I stand with President Trump! <U+0001F1FA><U+0001F1F8>;https://www.facebook.com/100044275787256/posts/1017197669766083;1;1
21146;<U+0001F6A8>Alert <U+0001F6A8>Congressional candidates despise President Trump! My Republican primary opponents Marty O’ Donnell & Drew Johnson despise President Trump! elizabethfornv.com/my-opponents/:=:https://elizabethfornv.com/my-opponents/ Vote for Elizabeth Helgelien by June 11th early voting starts May 25th #nv03 #nevada #lasvegas #maga #trump2024 #maga2024 #truth;https://www.facebook.com/100028132135259/posts/1346142509666807;2;1
40200;ROGUE Judge Merchan is OUT OF CONTROL!! If he can fine and threaten to jail the leading Presidential candidate for exercising Free Speech, imagine HOW FAR our corrupt justice system will go to SILENCE US! They’re not just after Trump, they’re after ALL PATRIOTIC Americans! They’re TERRIFIED of him WINNING in November.;https://www.facebook.com/100050657356984/posts/973182807713622;1;1
3106;I have full faith in our institutions and believe that justice was served today. However, this verdict does not change anything from a political perspective. No race is secure. Keep on fighting and working hard this election year. Trump could run a campaign from prison if he needed to and he could still win. The only way to truly hold him accountable is at the ballot box! Let’s GOTV!;https://www.facebook.com/61552683235103/posts/122160910550089441;1;2
70670;While social security and medicare is under constant attack from MAGA extremists, I will fight each and every day as your Congressman to protect these critical programs for all Americans. Read more about my plans: joesalernoforcongress.com/priorities/:=:https://joesalernoforcongress.com/priorities/;https://www.facebook.com/100093708234052/posts/292262087240730;1;2
83286;At every turn, we're pushing back on House Republicans' lies, chaos, and obstruction designed to prop up Donald Trump and his campaign. That’s why we’re on the front lines every single day defending our democracy and national security, which much prevail. Watch more here <U+2B07><U+FE0F>;https://www.facebook.com/100069363414315/posts/735515275437246;1;2
23433;Mike Lawler says he cares about combating antisemitism, while refusing to condemn Trump and his GOP colleagues for repeatedly trafficking in it. As if Lawler’s support of Trump and endorsement of an antisemite for Rockland’s legislature weren’t bad enough.;https://www.facebook.com/100058023160853/posts/826813419262756;2;2
